parameter_value,goals_for,goals_against,shots_for,shots_against,possession_share,remaining_stamina,action_diversity,active_ratio,average_nearest_teammate_distance,crowded_player_ratio,average_team_width,average_distance_to_ball,takeaways,turnovers,completed_matches,evaluated_matches,average_runtime_seconds
50,0.0,0.0,0.0,0.0,1.0,0.9783973707914738,13.0,0.5874125874125874,278.55970044416813,0.06993006993006994,1015.2287793476478,546.0806934797316,0.0,0.0,0,1,1.2640802999958396
650,0.0,0.0,1.0,0.0,1.0,0.9698103856431501,11.0,0.6153846153846154,275.08639660245365,0.04195804195804196,978.7938059630859,537.8715924631124,0.0,0.0,0,1,1.5771095000673085
1250,0.0,0.0,1.0,0.0,1.0,0.9688524237275578,13.0,0.6923076923076923,250.47634425339885,0.1258741258741259,921.3775775482511,595.7028159024572,0.0,0.0,0,1,1.9987754999892786
