parameter_value,goals_for,goals_against,shots_for,shots_against,possession_share,remaining_stamina,action_diversity,active_ratio,average_nearest_teammate_distance,crowded_player_ratio,average_team_width,average_distance_to_ball,takeaways,turnovers,completed_matches,evaluated_matches,average_runtime_seconds
50,2.3333333333333335,0.0,2.6666666666666665,0.0,0.6575069673518604,0.7891819675019488,31.333333333333332,0.5706272194466063,276.3516183928938,0.07570650104880254,1053.771186815872,556.9178982053272,11.666666666666666,12.0,0,3,3.110307266668921
650,2.3333333333333335,0.0,4.0,0.0,0.6938584002678986,0.7579319472488365,33.0,0.5601642225018848,279.15848017619015,0.06383371318436254,1062.1674902625919,564.2458380677089,12.666666666666666,12.333333333333334,0,3,3.1985010666636904
1250,3.3333333333333335,0.0,4.666666666666667,0.0,0.7112039994061402,0.7214583652268413,33.666666666666664,0.6127795436619452,282.71082789463327,0.05969405048983189,1056.275109166951,564.9077983170621,16.333333333333332,16.333333333333332,0,3,3.3435883000007984
