parameter_value,goals_for,goals_against,shots_for,shots_against,possession_share,remaining_stamina,action_diversity,active_ratio,average_nearest_teammate_distance,crowded_player_ratio,average_team_width,average_distance_to_ball,takeaways,turnovers,completed_matches,evaluated_matches,average_runtime_seconds
50,0.0,0.0,0.0,0.0,1.0,0.9887151579059765,11.0,0.6060606060606061,268.226232269881,0.0,987.9325520131979,570.4063765846,0.0,0.0,0,1,0.6717411000281572
650,0.0,0.0,0.0,0.0,1.0,0.9894634392111111,9.0,0.5606060606060606,269.63096831306297,0.030303030303030304,1013.700190331038,513.557938719402,0.0,0.0,0,1,0.7294985000044107
1250,0.0,0.0,0.0,0.0,1.0,0.9885973758187505,10.0,0.4696969696969697,243.10148534308985,0.09090909090909091,933.8746935467075,560.3963483145724,0.0,0.0,0,1,0.5793497000122443
