parameter_value,goals_for,goals_against,shots_for,shots_against,possession_share,remaining_stamina,action_diversity,active_ratio,average_nearest_teammate_distance,crowded_player_ratio,average_team_width,average_distance_to_ball,takeaways,turnovers,completed_matches,evaluated_matches,average_runtime_seconds
50,0.0,0.0,0.0,0.0,0.5314285714285716,0.9576227613738642,21.0,0.5807928913192071,281.75787117888444,0.09921394395078606,1057.4615518999244,579.7886796869818,2.5,2.5,0,2,1.5798769999528304
650,0.0,0.0,0.5,0.0,0.8687301587301587,0.9448104926922646,20.5,0.5591226954863319,277.79051634168775,0.07925407925407926,1029.9915370810654,598.0037735871229,2.0,2.0,0,2,1.6081019999692217
1250,0.5,0.0,1.0,0.0,0.7270704265470342,0.9395461172191042,19.0,0.6692535107169253,264.0168473443375,0.061653116531165314,983.8849741341201,584.2330486994205,3.0,2.5,0,2,1.7140410500578582
